city,day,name_en,name_local,address,map_provider,booking_link_needed,status,search_query,map_link,place_link,booking_link,notes
Seoul,7,Nature Republic Flagship,네이처리퍼블릭,Myeongdong area,KakaoMap,no,search_link_ready,네이처리퍼블릭 Myeongdong area,http://m.map.kakao.com/scheme/search?q=%EB%84%A4%EC%9D%B4%EC%B2%98%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AD%20Myeongdong%20area,,,
Seoul,7,Innisfree Jeju House,이니스프리 제주하우스,Myeongdong area,KakaoMap,no,search_link_ready,이니스프리 제주하우스 Myeongdong area,http://m.map.kakao.com/scheme/search?q=%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC%20%EC%A0%9C%EC%A3%BC%ED%95%98%EC%9A%B0%EC%8A%A4%20Myeongdong%20area,,,
Seoul,7,Lotte Department Store,롯데백화점,"Euljiro 1-ga, Seoul",KakaoMap,no,search_link_ready,"롯데백화점 Euljiro 1-ga, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%20Euljiro%201-ga%2C%20Seoul,,,
Seoul,7,Myeongdong Underground Shopping Center,명동지하상가,Myeongdong area,KakaoMap,no,search_link_ready,명동지하상가 Myeongdong area,http://m.map.kakao.com/scheme/search?q=%EB%AA%85%EB%8F%99%EC%A7%80%ED%95%98%EC%83%81%EA%B0%80%20Myeongdong%20area,,,
Seoul,7,Myeongdong Nanta Theater,명동난타극장,"26 Myeongdong-gil, Jung-gu",KakaoMap,yes,search_link_ready,"명동난타극장 26 Myeongdong-gil, Jung-gu",http://m.map.kakao.com/scheme/search?q=%EB%AA%85%EB%8F%99%EB%82%9C%ED%83%80%EA%B7%B9%EC%9E%A5%2026%20Myeongdong-gil%2C%20Jung-gu,,https://www.nanta.co.kr:452/en/show/detail.php?id=1,Official NANTA page confirms Myeongdong show and venue details. Priority for exact verification.
Seoul,8,Gupabal Station,구파발역,"Line 3, Seoul",KakaoMap,no,search_link_ready,"구파발역 Line 3, Seoul",http://m.map.kakao.com/scheme/search?q=%EA%B5%AC%ED%8C%8C%EB%B0%9C%EC%97%AD%20Line%203%2C%20Seoul,,,
Seoul,8,Bukhansansung Entrance,북한산성입구,Trail access by bus from Gupabal,KakaoMap,no,search_link_ready,북한산성입구 Trail access by bus from Gupabal,http://m.map.kakao.com/scheme/search?q=%EB%B6%81%ED%95%9C%EC%82%B0%EC%84%B1%EC%9E%85%EA%B5%AC%20Trail%20access%20by%20bus%20from%20Gupabal,,,
Seoul,8,Bibong Peak,비봉,Bukhansan National Park,KakaoMap,no,search_link_ready,비봉 Bukhansan National Park,http://m.map.kakao.com/scheme/search?q=%EB%B9%84%EB%B4%89%20Bukhansan%20National%20Park,,,
Seoul,8,Jingwansa Temple,진관사,"Jingwansa, Seoul",KakaoMap,no,search_link_ready,"진관사 Jingwansa, Seoul",http://m.map.kakao.com/scheme/search?q=%EC%A7%84%EA%B4%80%EC%82%AC%20Jingwansa%2C%20Seoul,,,
Seoul,8,Baekjeong,백정,"108 Myeongdong 10-gil, Jung-gu",KakaoMap,yes,search_link_ready,"백정 108 Myeongdong 10-gil, Jung-gu",http://m.map.kakao.com/scheme/search?q=%EB%B0%B1%EC%A0%95%20108%20Myeongdong%2010-gil%2C%20Jung-gu,,,Catch Table booking likely needed; verify exact branch manually.
Seoul,8,Maple Tree House,메이플트리하우스,Samcheong-dong,KakaoMap,no,search_link_ready,메이플트리하우스 Samcheong-dong,http://m.map.kakao.com/scheme/search?q=%EB%A9%94%EC%9D%B4%ED%94%8C%ED%8A%B8%EB%A6%AC%ED%95%98%EC%9A%B0%EC%8A%A4%20Samcheong-dong,,,
Seoul,9,Whoo Spa Gangnam,후스파 강남,"Gangnam, Seoul",KakaoMap,yes,search_link_ready,"후스파 강남 Gangnam, Seoul",http://m.map.kakao.com/scheme/search?q=%ED%9B%84%EC%8A%A4%ED%8C%8C%20%EA%B0%95%EB%82%A8%20Gangnam%2C%20Seoul,,,Needs exact official booking source or verified Klook listing. Priority for exact verification.
Seoul,9,COEX Mall,코엑스몰,"Gangnam, Seoul",KakaoMap,no,search_link_ready,"코엑스몰 Gangnam, Seoul",http://m.map.kakao.com/scheme/search?q=%EC%BD%94%EC%97%91%EC%8A%A4%EB%AA%B0%20Gangnam%2C%20Seoul,,,
Seoul,9,Starfield Library,별마당도서관,COEX Mall,KakaoMap,no,search_link_ready,별마당도서관 COEX Mall,http://m.map.kakao.com/scheme/search?q=%EB%B3%84%EB%A7%88%EB%8B%B9%EB%8F%84%EC%84%9C%EA%B4%80%20COEX%20Mall,,,
Seoul,9,SM Town Coex Artium,SM타운 코엑스아티움,COEX area,KakaoMap,no,search_link_ready,SM타운 코엑스아티움 COEX area,http://m.map.kakao.com/scheme/search?q=SM%ED%83%80%EC%9A%B4%20%EC%BD%94%EC%97%91%EC%8A%A4%EC%95%84%ED%8B%B0%EC%9B%80%20COEX%20area,,,
Seoul,9,Amore Seongsu,아모레 성수,"Seongsu-dong, Seoul",KakaoMap,no,search_link_ready,"아모레 성수 Seongsu-dong, Seoul",http://m.map.kakao.com/scheme/search?q=%EC%95%84%EB%AA%A8%EB%A0%88%20%EC%84%B1%EC%88%98%20Seongsu-dong%2C%20Seoul,,,
Seoul,9,Tamburins,탬버린즈,Seongsu / Gangnam,KakaoMap,no,search_link_ready,탬버린즈 Seongsu / Gangnam,http://m.map.kakao.com/scheme/search?q=%ED%83%AC%EB%B2%84%EB%A6%B0%EC%A6%88%20Seongsu%20/%20Gangnam,,,
Seoul,9,Orer Archive,오르에르 아카이브,Seongsu-dong,KakaoMap,no,search_link_ready,오르에르 아카이브 Seongsu-dong,http://m.map.kakao.com/scheme/search?q=%EC%98%A4%EB%A5%B4%EC%97%90%EB%A5%B4%20%EC%95%84%EC%B9%B4%EC%9D%B4%EB%B8%8C%20Seongsu-dong,,,
Seoul,9,Center Coffee,센터커피,Seongsu-dong,KakaoMap,no,search_link_ready,센터커피 Seongsu-dong,http://m.map.kakao.com/scheme/search?q=%EC%84%BC%ED%84%B0%EC%BB%A4%ED%94%BC%20Seongsu-dong,,,
Seoul,9,Grey Gristmill,그레이 그리스트밀,Seongsu-dong,KakaoMap,no,search_link_ready,그레이 그리스트밀 Seongsu-dong,http://m.map.kakao.com/scheme/search?q=%EA%B7%B8%EB%A0%88%EC%9D%B4%20%EA%B7%B8%EB%A6%AC%EC%8A%A4%ED%8A%B8%EB%B0%80%20Seongsu-dong,,,
Seoul,10,Hongdae Walking Street,홍대거리,"Hongik University area, Mapo-gu",KakaoMap,no,search_link_ready,"홍대거리 Hongik University area, Mapo-gu",http://m.map.kakao.com/scheme/search?q=%ED%99%8D%EB%8C%80%EA%B1%B0%EB%A6%AC%20Hongik%20University%20area%2C%20Mapo-gu,,,
Seoul,10,KT&G Sangsangmadang,KT&G 상상마당,Hongdae area,KakaoMap,no,search_link_ready,KT&G 상상마당 Hongdae area,http://m.map.kakao.com/scheme/search?q=KT%26G%20%EC%83%81%EC%83%81%EB%A7%88%EB%8B%B9%20Hongdae%20area,,,
Seoul,10,Oreno Ramen,오레노라멘,"14 Dokmak-ro 6-gil, Mapo-gu",KakaoMap,no,search_link_ready,"오레노라멘 14 Dokmak-ro 6-gil, Mapo-gu",http://m.map.kakao.com/scheme/search?q=%EC%98%A4%EB%A0%88%EB%85%B8%EB%9D%BC%EB%A9%98%2014%20Dokmak-ro%206-gil%2C%20Mapo-gu,,,
Seoul,10,Damtak,담탁,"51 Donggyo-ro 12beon-gil, Mapo-gu",KakaoMap,no,search_link_ready,"담탁 51 Donggyo-ro 12beon-gil, Mapo-gu",http://m.map.kakao.com/scheme/search?q=%EB%8B%B4%ED%83%81%2051%20Donggyo-ro%2012beon-gil%2C%20Mapo-gu,,,
Seoul,10,Menya Jun,면야준,"128 Donggyo-ro, Mapo-gu",KakaoMap,no,search_link_ready,"면야준 128 Donggyo-ro, Mapo-gu",http://m.map.kakao.com/scheme/search?q=%EB%A9%B4%EC%95%BC%EC%A4%80%20128%20Donggyo-ro%2C%20Mapo-gu,,,
Seoul,10,Mangwon Market,망원시장,"Mangwon area, Seoul",KakaoMap,no,search_link_ready,"망원시장 Mangwon area, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%A7%9D%EC%9B%90%EC%8B%9C%EC%9E%A5%20Mangwon%20area%2C%20Seoul,,,
Seoul,10,Fritz Coffee Company,프릳츠커피컴퍼니,17 Worldcup-ro 20-gil,KakaoMap,no,search_link_ready,프릳츠커피컴퍼니 17 Worldcup-ro 20-gil,http://m.map.kakao.com/scheme/search?q=%ED%94%84%EB%A6%B3%EC%B8%A0%EC%BB%A4%ED%94%BC%EC%BB%B4%ED%8D%BC%EB%8B%88%2017%20Worldcup-ro%2020-gil,,,
Seoul,10,Club Evans,클럽에반스,"57 Wausan-ro, Mapo-gu",KakaoMap,no,search_link_ready,"클럽에반스 57 Wausan-ro, Mapo-gu",http://m.map.kakao.com/scheme/search?q=%ED%81%B4%EB%9F%BD%EC%97%90%EB%B0%98%EC%8A%A4%2057%20Wausan-ro%2C%20Mapo-gu,,,Needs live schedule verification closer to visit date. Priority for exact verification.
Seoul,11,Ikseon-dong,익선동,"Ikseon-dong, Jongno-gu",KakaoMap,no,search_link_ready,"익선동 Ikseon-dong, Jongno-gu",http://m.map.kakao.com/scheme/search?q=%EC%9D%B5%EC%84%A0%EB%8F%99%20Ikseon-dong%2C%20Jongno-gu,,,
Seoul,11,Cafe Onion Ikseon,카페 어니언 익선,Ikseon-dong,KakaoMap,no,search_link_ready,카페 어니언 익선 Ikseon-dong,http://m.map.kakao.com/scheme/search?q=%EC%B9%B4%ED%8E%98%20%EC%96%B4%EB%8B%88%EC%96%B8%20%EC%9D%B5%EC%84%A0%20Ikseon-dong,,,
Seoul,11,Layered Ikseondong,레이어드 익선,Ikseon-dong / Anguk area,KakaoMap,no,search_link_ready,레이어드 익선 Ikseon-dong / Anguk area,http://m.map.kakao.com/scheme/search?q=%EB%A0%88%EC%9D%B4%EC%96%B4%EB%93%9C%20%EC%9D%B5%EC%84%A0%20Ikseon-dong%20/%20Anguk%20area,,,
Seoul,11,N Seoul Tower,남산서울타워,"105 Namsangongwon-gil, Yongsan-gu",KakaoMap,no,search_link_ready,"남산서울타워 105 Namsangongwon-gil, Yongsan-gu",http://m.map.kakao.com/scheme/search?q=%EB%82%A8%EC%82%B0%EC%84%9C%EC%9A%B8%ED%83%80%EC%9B%8C%20105%20Namsangongwon-gil%2C%20Yongsan-gu,,,Priority for exact verification.
Seoul,11,Namsan Cable Car,남산케이블카,"Myeongdong approach, Seoul",KakaoMap,no,search_link_ready,"남산케이블카 Myeongdong approach, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%82%A8%EC%82%B0%EC%BC%80%EC%9D%B4%EB%B8%94%EC%B9%B4%20Myeongdong%20approach%2C%20Seoul,,,
Seoul,11,La Yeon,라연,"23F, The Shilla Seoul, 249 Dongho-ro, Jung-gu",KakaoMap,yes,search_link_ready,"라연 23F, The Shilla Seoul, 249 Dongho-ro, Jung-gu",http://m.map.kakao.com/scheme/search?q=%EB%9D%BC%EC%97%B0%2023F%2C%20The%20Shilla%20Seoul%2C%20249%20Dongho-ro%2C%20Jung-gu,,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/la-yeon,"Michelin and hotel/travel sources confirm 23F Shilla Hotel, 249 Dongho-ro, Jung-gu. Priority for exact verification."
Seoul,11,Jungsik Seoul,정식당,"Gangnam, Seoul",KakaoMap,yes,search_link_ready,"정식당 Gangnam, Seoul",http://m.map.kakao.com/scheme/search?q=%EC%A0%95%EC%8B%9D%EB%8B%B9%20Gangnam%2C%20Seoul,,,
Seoul,11,Mingles,밍글스,"Gangnam, Seoul",KakaoMap,yes,search_link_ready,"밍글스 Gangnam, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%B0%8D%EA%B8%80%EC%8A%A4%20Gangnam%2C%20Seoul,,,
Seoul,12,Layered Anguk,레이어드 안국,"Anguk area, Seoul",KakaoMap,no,search_link_ready,"레이어드 안국 Anguk area, Seoul",http://m.map.kakao.com/scheme/search?q=%EB%A0%88%EC%9D%B4%EC%96%B4%EB%93%9C%20%EC%95%88%EA%B5%AD%20Anguk%20area%2C%20Seoul,,,
Seoul,12,Anthracite,앤트러사이트,Hannam / Seoul,KakaoMap,no,search_link_ready,앤트러사이트 Hannam / Seoul,http://m.map.kakao.com/scheme/search?q=%EC%95%A4%ED%8A%B8%EB%9F%AC%EC%82%AC%EC%9D%B4%ED%8A%B8%20Hannam%20/%20Seoul,,,
